"geo_level","code_geo","lib_geo","year","speciality","n"
"departement","D42","Loire","2009","medecins",2420
"departement","D43","Haute-Loire","2009","medecins",467
"departement","D44","Loire-Atlantique","2009","medecins",4210
"departement","D45","Loiret","2009","medecins",1635
"departement","D46","Lot","2009","medecins",505
"departement","D47","Lot-et-Garonne","2009","medecins",852
"departement","D48","Lozère","2009","medecins",178
"departement","D49","Maine-et-Loire","2009","medecins",2387
"departement","D50","Manche","2009","medecins",1220
"departement","D51","Marne","2009","medecins",1890
"departement","D52","Haute-Marne","2009","medecins",490
"departement","D53","Mayenne","2009","medecins",616
"departement","D54","Meurthe-et-Moselle","2009","medecins",2896
"departement","D55","Meuse","2009","medecins",399
"departement","D56","Morbihan","2009","medecins",2061
"departement","D57","Moselle","2009","medecins",2901
"departement","D58","Nièvre","2009","medecins",523
"departement","D59","Nord","2009","medecins",8625
"departement","D60","Oise","2009","medecins",1823
"departement","D61","Orne","2009","medecins",650
"departement","D62","Pas-de-Calais","2009","medecins",3640
"departement","D63","Puy-de-Dôme","2009","medecins",2217
"departement","D64","Pyrénées-Atlantiques","2009","medecins",2382
"departement","D65","Hautes-Pyrénées","2009","medecins",817
"departement","D66","Pyrénées-Orientales","2009","medecins",1522
"departement","D67","Bas-Rhin","2009","medecins",4235
"departement","D68","Haut-Rhin","2009","medecins",2302
"departement","D69","Rhône","2009","medecins",7382
"departement","D70","Haute-Saône","2009","medecins",545
"departement","D71","Saône-et-Loire","2009","medecins",1404
"departement","D72","Sarthe","2009","medecins",1314
"departement","D73","Savoie","2009","medecins",1370
"departement","D74","Haute-Savoie","2009","medecins",2143
"departement","D75","Paris","2009","medecins",17915
"departement","D76","Seine-Maritime","2009","medecins",3852
"departement","D77","Seine-et-Marne","2009","medecins",3070
"departement","D78","Yvelines","2009","medecins",4397
"departement","D79","Deux-Sèvres","2009","medecins",890
"departement","D80","Somme","2009","medecins",1788
"departement","D81","Tarn","2009","medecins",1185
"departement","D82","Tarn-et-Garonne","2009","medecins",635
"departement","D83","Var","2009","medecins",3472
"departement","D84","Vaucluse","2009","medecins",1851
"departement","D85","Vendée","2009","medecins",1377
"departement","D86","Vienne","2009","medecins",1448
"departement","D87","Haute-Vienne","2009","medecins",1477
"departement","D88","Vosges","2009","medecins",919
"departement","D89","Yonne","2009","medecins",800
"departement","D90","Territoire de Belfort","2009","medecins",380
"departement","D91","Essonne","2009","medecins",3322
"departement","D92","Hauts-de-Seine","2009","medecins",6303
"departement","D93","Seine-Saint-Denis","2009","medecins",4015
"departement","D94","Val-de-Marne","2009","medecins",4908
"departement","D95","Val-d'Oise","2009","medecins",3124
"departement","D9A","Guadeloupe","2009","medecins",1037
"departement","D9B","Martinique","2009","medecins",1033
"departement","D9C","Guyane","2009","medecins",397
"departement","D9D","Réunion","2009","medecins",2211
"departement","D9F","Mayotte","2009","medecins",NA
"departement","D01","Ain","2009","biologie_medicale",8
"departement","D02","Aisne","2009","biologie_medicale",9
"departement","D03","Allier","2009","biologie_medicale",4
"departement","D04","Alpes-de-Haute-Provence","2009","biologie_medicale",6
"departement","D05","Hautes-Alpes","2009","biologie_medicale",5
"departement","D06","Alpes-Maritimes","2009","biologie_medicale",85
"departement","D07","Ardèche","2009","biologie_medicale",6
"departement","D08","Ardennes","2009","biologie_medicale",3
"departement","D09","Ariège","2009","biologie_medicale",4
"departement","D10","Aube","2009","biologie_medicale",10
"departement","D11","Aude","2009","biologie_medicale",18
"departement","D12","Aveyron","2009","biologie_medicale",10
"departement","D13","Bouches-du-Rhône","2009","biologie_medicale",161
"departement","D14","Calvados","2009","biologie_medicale",33
"departement","D15","Cantal","2009","biologie_medicale",3
"departement","D16","Charente","2009","biologie_medicale",6
"departement","D17","Charente-Maritime","2009","biologie_medicale",23
"departement","D18","Cher","2009","biologie_medicale",11
"departement","D19","Corrèze","2009","biologie_medicale",12
"departement","D21","Côte-d'Or","2009","biologie_medicale",38
"departement","D22","Côtes-d'Armor","2009","biologie_medicale",12
"departement","D23","Creuse","2009","biologie_medicale",3
"departement","D24","Dordogne","2009","biologie_medicale",6
"departement","D25","Doubs","2009","biologie_medicale",23
"departement","D26","Drôme","2009","biologie_medicale",13
"departement","D27","Eure","2009","biologie_medicale",10
"departement","D28","Eure-et-Loir","2009","biologie_medicale",14
"departement","D29","Finistère","2009","biologie_medicale",54
"departement","D2A","Corse-du-Sud","2009","biologie_medicale",NA
"departement","D2B","Haute-Corse","2009","biologie_medicale",NA
"departement","D30","Gard","2009","biologie_medicale",44
"departement","D31","Haute-Garonne","2009","biologie_medicale",85
"departement","D32","Gers","2009","biologie_medicale",4
"departement","D33","Gironde","2009","biologie_medicale",91
"departement","D34","Hérault","2009","biologie_medicale",88
"departement","D35","Ille-et-Vilaine","2009","biologie_medicale",43
"departement","D36","Indre","2009","biologie_medicale",7
"departement","D37","Indre-et-Loire","2009","biologie_medicale",41
"departement","D38","Isère","2009","biologie_medicale",64
"departement","D39","Jura","2009","biologie_medicale",3
"departement","D40","Landes","2009","biologie_medicale",12
"departement","D41","Loir-et-Cher","2009","biologie_medicale",7
"departement","D42","Loire","2009","biologie_medicale",32
"departement","D43","Haute-Loire","2009","biologie_medicale",3
"departement","D44","Loire-Atlantique","2009","biologie_medicale",61
"departement","D45","Loiret","2009","biologie_medicale",17
"departement","D46","Lot","2009","biologie_medicale",0
"departement","D47","Lot-et-Garonne","2009","biologie_medicale",12
"departement","D48","Lozère","2009","biologie_medicale",0
"departement","D49","Maine-et-Loire","2009","biologie_medicale",37
"departement","D50","Manche","2009","biologie_medicale",13
"departement","D51","Marne","2009","biologie_medicale",32
"departement","D52","Haute-Marne","2009","biologie_medicale",6
"departement","D53","Mayenne","2009","biologie_medicale",6
"departement","D54","Meurthe-et-Moselle","2009","biologie_medicale",49
"departement","D55","Meuse","2009","biologie_medicale",0
"departement","D56","Morbihan","2009","biologie_medicale",20
"departement","D57","Moselle","2009","biologie_medicale",27
"departement","D58","Nièvre","2009","biologie_medicale",5
"departement","D59","Nord","2009","biologie_medicale",124
"departement","D60","Oise","2009","biologie_medicale",18
"departement","D61","Orne","2009","biologie_medicale",12
"departement","D62","Pas-de-Calais","2009","biologie_medicale",31
"departement","D63","Puy-de-Dôme","2009","biologie_medicale",34
"departement","D64","Pyrénées-Atlantiques","2009","biologie_medicale",30
"departement","D65","Hautes-Pyrénées","2009","biologie_medicale",7
"departement","D66","Pyrénées-Orientales","2009","biologie_medicale",12
"departement","D67","Bas-Rhin","2009","biologie_medicale",65
"departement","D68","Haut-Rhin","2009","biologie_medicale",23
"departement","D69","Rhône","2009","biologie_medicale",117
"departement","D70","Haute-Saône","2009","biologie_medicale",4
"departement","D71","Saône-et-Loire","2009","biologie_medicale",16
"departement","D72","Sarthe","2009","biologie_medicale",11
"departement","D73","Savoie","2009","biologie_medicale",9
"departement","D74","Haute-Savoie","2009","biologie_medicale",24
"departement","D75","Paris","2009","biologie_medicale",344
"departement","D76","Seine-Maritime","2009","biologie_medicale",59
"departement","D77","Seine-et-Marne","2009","biologie_medicale",38
"departement","D78","Yvelines","2009","biologie_medicale",64
"departement","D79","Deux-Sèvres","2009","biologie_medicale",7
"departement","D80","Somme","2009","biologie_medicale",22
"departement","D81","Tarn","2009","biologie_medicale",14
"departement","D82","Tarn-et-Garonne","2009","biologie_medicale",7
"departement","D83","Var","2009","biologie_medicale",39
"departement","D84","Vaucluse","2009","biologie_medicale",15
"departement","D85","Vendée","2009","biologie_medicale",19
"departement","D86","Vienne","2009","biologie_medicale",25
"departement","D87","Haute-Vienne","2009","biologie_medicale",30
"departement","D88","Vosges","2009","biologie_medicale",5
"departement","D89","Yonne","2009","biologie_medicale",6
"departement","D90","Territoire de Belfort","2009","biologie_medicale",6
"departement","D91","Essonne","2009","biologie_medicale",36
"departement","D92","Hauts-de-Seine","2009","biologie_medicale",91
"departement","D93","Seine-Saint-Denis","2009","biologie_medicale",60
"departement","D94","Val-de-Marne","2009","biologie_medicale",114
"departement","D95","Val-d'Oise","2009","biologie_medicale",50
"departement","D9A","Guadeloupe","2009","biologie_medicale",10
"departement","D9B","Martinique","2009","biologie_medicale",16
"departement","D9C","Guyane","2009","biologie_medicale",11
"departement","D9D","Réunion","2009","biologie_medicale",30
"departement","D9F","Mayotte","2009","biologie_medicale",NA
"departement","D01","Ain","2009","pneumologie",14
"departement","D02","Aisne","2009","pneumologie",23
"departement","D03","Allier","2009","pneumologie",10
"departement","D04","Alpes-de-Haute-Provence","2009","pneumologie",4
"departement","D05","Hautes-Alpes","2009","pneumologie",17
"departement","D06","Alpes-Maritimes","2009","pneumologie",73
"departement","D07","Ardèche","2009","pneumologie",11
"departement","D08","Ardennes","2009","pneumologie",10
"departement","D09","Ariège","2009","pneumologie",11
"departement","D10","Aube","2009","pneumologie",8
"departement","D11","Aude","2009","pneumologie",14
"departement","D12","Aveyron","2009","pneumologie",14
"departement","D13","Bouches-du-Rhône","2009","pneumologie",109
"departement","D14","Calvados","2009","pneumologie",34
"departement","D15","Cantal","2009","pneumologie",6
"departement","D16","Charente","2009","pneumologie",17
"departement","D17","Charente-Maritime","2009","pneumologie",19
"departement","D18","Cher","2009","pneumologie",7
"departement","D19","Corrèze","2009","pneumologie",9
"departement","D21","Côte-d'Or","2009","pneumologie",23
"departement","D22","Côtes-d'Armor","2009","pneumologie",25
"departement","D23","Creuse","2009","pneumologie",8
"departement","D24","Dordogne","2009","pneumologie",13
"departement","D25","Doubs","2009","pneumologie",24
"departement","D26","Drôme","2009","pneumologie",26
"departement","D27","Eure","2009","pneumologie",14
"departement","D28","Eure-et-Loir","2009","pneumologie",17
"departement","D29","Finistère","2009","pneumologie",49
"departement","D2A","Corse-du-Sud","2009","pneumologie",NA
"departement","D2B","Haute-Corse","2009","pneumologie",NA
"departement","D30","Gard","2009","pneumologie",28
"departement","D31","Haute-Garonne","2009","pneumologie",64
"departement","D32","Gers","2009","pneumologie",3
"departement","D33","Gironde","2009","pneumologie",52
"departement","D34","Hérault","2009","pneumologie",61
"departement","D35","Ille-et-Vilaine","2009","pneumologie",41
"departement","D36","Indre","2009","pneumologie",6
"departement","D37","Indre-et-Loire","2009","pneumologie",17
"departement","D38","Isère","2009","pneumologie",63
"departement","D39","Jura","2009","pneumologie",11
"departement","D40","Landes","2009","pneumologie",6
"departement","D41","Loir-et-Cher","2009","pneumologie",14
"departement","D42","Loire","2009","pneumologie",34
"departement","D43","Haute-Loire","2009","pneumologie",5
"departement","D44","Loire-Atlantique","2009","pneumologie",50
"departement","D45","Loiret","2009","pneumologie",22
"departement","D46","Lot","2009","pneumologie",8
"departement","D47","Lot-et-Garonne","2009","pneumologie",11
"departement","D48","Lozère","2009","pneumologie",3
"departement","D49","Maine-et-Loire","2009","pneumologie",30
"departement","D50","Manche","2009","pneumologie",15
"departement","D51","Marne","2009","pneumologie",25
"departement","D52","Haute-Marne","2009","pneumologie",5
"departement","D53","Mayenne","2009","pneumologie",6
"departement","D54","Meurthe-et-Moselle","2009","pneumologie",38
"departement","D55","Meuse","2009","pneumologie",6
"departement","D56","Morbihan","2009","pneumologie",24
"departement","D57","Moselle","2009","pneumologie",44
"departement","D58","Nièvre","2009","pneumologie",9
"departement","D59","Nord","2009","pneumologie",133
"departement","D60","Oise","2009","pneumologie",23
"departement","D61","Orne","2009","pneumologie",11
"departement","D62","Pas-de-Calais","2009","pneumologie",49
"departement","D63","Puy-de-Dôme","2009","pneumologie",23
"departement","D64","Pyrénées-Atlantiques","2009","pneumologie",34
"departement","D65","Hautes-Pyrénées","2009","pneumologie",11
"departement","D66","Pyrénées-Orientales","2009","pneumologie",29
"departement","D67","Bas-Rhin","2009","pneumologie",61
"departement","D68","Haut-Rhin","2009","pneumologie",34
"departement","D69","Rhône","2009","pneumologie",74
"departement","D70","Haute-Saône","2009","pneumologie",6
"departement","D71","Saône-et-Loire","2009","pneumologie",27
"departement","D72","Sarthe","2009","pneumologie",20
"departement","D73","Savoie","2009","pneumologie",11
"departement","D74","Haute-Savoie","2009","pneumologie",27
"departement","D75","Paris","2009","pneumologie",204
"departement","D76","Seine-Maritime","2009","pneumologie",64
"departement","D77","Seine-et-Marne","2009","pneumologie",40
"departement","D78","Yvelines","2009","pneumologie",57
"departement","D79","Deux-Sèvres","2009","pneumologie",9
"departement","D80","Somme","2009","pneumologie",23
"departement","D81","Tarn","2009","pneumologie",18
"departement","D82","Tarn-et-Garonne","2009","pneumologie",8
"departement","D83","Var","2009","pneumologie",55
"departement","D84","Vaucluse","2009","pneumologie",23
"departement","D85","Vendée","2009","pneumologie",18
"departement","D86","Vienne","2009","pneumologie",17
"departement","D87","Haute-Vienne","2009","pneumologie",20
"departement","D88","Vosges","2009","pneumologie",9
"departement","D89","Yonne","2009","pneumologie",14
"departement","D90","Territoire de Belfort","2009","pneumologie",6
"departement","D91","Essonne","2009","pneumologie",36
"departement","D92","Hauts-de-Seine","2009","pneumologie",93
"departement","D93","Seine-Saint-Denis","2009","pneumologie",32
"departement","D94","Val-de-Marne","2009","pneumologie",65
"departement","D95","Val-d'Oise","2009","pneumologie",40
"departement","D9A","Guadeloupe","2009","pneumologie",4
"departement","D9B","Martinique","2009","pneumologie",5
"departement","D9C","Guyane","2009","pneumologie",1
"departement","D9D","Réunion","2009","pneumologie",20
"departement","D9F","Mayotte","2009","pneumologie",NA
"departement","D01","Ain","2009","orl",16
"departement","D02","Aisne","2009","orl",16
"departement","D03","Allier","2009","orl",14
"departement","D04","Alpes-de-Haute-Provence","2009","orl",8
"departement","D05","Hautes-Alpes","2009","orl",8
"departement","D06","Alpes-Maritimes","2009","orl",86
"departement","D07","Ardèche","2009","orl",13
"departement","D08","Ardennes","2009","orl",8
"departement","D09","Ariège","2009","orl",5
"departement","D10","Aube","2009","orl",8
"departement","D11","Aude","2009","orl",9
"departement","D12","Aveyron","2009","orl",7
"departement","D13","Bouches-du-Rhône","2009","orl",127
"departement","D14","Calvados","2009","orl",32
"departement","D15","Cantal","2009","orl",3
"departement","D16","Charente","2009","orl",13
"departement","D17","Charente-Maritime","2009","orl",20
"departement","D18","Cher","2009","orl",13
"departement","D19","Corrèze","2009","orl",7
"departement","D21","Côte-d'Or","2009","orl",21
"departement","D22","Côtes-d'Armor","2009","orl",19
"departement","D23","Creuse","2009","orl",2
"departement","D24","Dordogne","2009","orl",13
"departement","D25","Doubs","2009","orl",28
"departement","D26","Drôme","2009","orl",21
"departement","D27","Eure","2009","orl",16
"departement","D28","Eure-et-Loir","2009","orl",12
"departement","D29","Finistère","2009","orl",37
"departement","D2A","Corse-du-Sud","2009","orl",NA
"departement","D2B","Haute-Corse","2009","orl",NA
"departement","D30","Gard","2009","orl",26
"departement","D31","Haute-Garonne","2009","orl",74
"departement","D32","Gers","2009","orl",3
"departement","D33","Gironde","2009","orl",81
"departement","D34","Hérault","2009","orl",82
"departement","D35","Ille-et-Vilaine","2009","orl",39
"departement","D36","Indre","2009","orl",9
"departement","D37","Indre-et-Loire","2009","orl",28
"departement","D38","Isère","2009","orl",44
"departement","D39","Jura","2009","orl",6
"departement","D40","Landes","2009","orl",14
"departement","D41","Loir-et-Cher","2009","orl",12
"departement","D42","Loire","2009","orl",28
"departement","D43","Haute-Loire","2009","orl",4
"departement","D44","Loire-Atlantique","2009","orl",53
"departement","D45","Loiret","2009","orl",20
"departement","D46","Lot","2009","orl",6
"departement","D47","Lot-et-Garonne","2009","orl",8
"departement","D48","Lozère","2009","orl",1
"departement","D49","Maine-et-Loire","2009","orl",32
"departement","D50","Manche","2009","orl",15
"departement","D51","Marne","2009","orl",22
"departement","D52","Haute-Marne","2009","orl",4
"departement","D53","Mayenne","2009","orl",7
"departement","D54","Meurthe-et-Moselle","2009","orl",31
"departement","D55","Meuse","2009","orl",4
"departement","D56","Morbihan","2009","orl",29
"departement","D57","Moselle","2009","orl",38
"departement","D58","Nièvre","2009","orl",10
"departement","D59","Nord","2009","orl",98
"departement","D60","Oise","2009","orl",24
"departement","D61","Orne","2009","orl",10
"departement","D62","Pas-de-Calais","2009","orl",31
"departement","D63","Puy-de-Dôme","2009","orl",27
"departement","D64","Pyrénées-Atlantiques","2009","orl",32
"departement","D65","Hautes-Pyrénées","2009","orl",13
"departement","D66","Pyrénées-Orientales","2009","orl",17
"departement","D67","Bas-Rhin","2009","orl",58
"departement","D68","Haut-Rhin","2009","orl",27
"departement","D69","Rhône","2009","orl",88
"departement","D70","Haute-Saône","2009","orl",4
"departement","D71","Saône-et-Loire","2009","orl",15
"departement","D72","Sarthe","2009","orl",17
"departement","D73","Savoie","2009","orl",21
"departement","D74","Haute-Savoie","2009","orl",28
"departement","D75","Paris","2009","orl",294
"departement","D76","Seine-Maritime","2009","orl",62
"departement","D77","Seine-et-Marne","2009","orl",42
"departement","D78","Yvelines","2009","orl",76
"departement","D79","Deux-Sèvres","2009","orl",10
"departement","D80","Somme","2009","orl",20
"departement","D81","Tarn","2009","orl",18
"departement","D82","Tarn-et-Garonne","2009","orl",8
"departement","D83","Var","2009","orl",55
"departement","D84","Vaucluse","2009","orl",34
"departement","D85","Vendée","2009","orl",13
"departement","D86","Vienne","2009","orl",20
"departement","D87","Haute-Vienne","2009","orl",17
"departement","D88","Vosges","2009","orl",13
"departement","D89","Yonne","2009","orl",14
"departement","D90","Territoire de Belfort","2009","orl",6
"departement","D91","Essonne","2009","orl",48
"departement","D92","Hauts-de-Seine","2009","orl",105
"departement","D93","Seine-Saint-Denis","2009","orl",70
"departement","D94","Val-de-Marne","2009","orl",85
"departement","D95","Val-d'Oise","2009","orl",61
"departement","D9A","Guadeloupe","2009","orl",16
"departement","D9B","Martinique","2009","orl",14
"departement","D9C","Guyane","2009","orl",6
"departement","D9D","Réunion","2009","orl",24
"departement","D9F","Mayotte","2009","orl",NA
"departement","D01","Ain","2009","neurologie",9
"departement","D02","Aisne","2009","neurologie",9
"departement","D03","Allier","2009","neurologie",8
"departement","D04","Alpes-de-Haute-Provence","2009","neurologie",2
"departement","D05","Hautes-Alpes","2009","neurologie",4
"departement","D06","Alpes-Maritimes","2009","neurologie",45
"departement","D07","Ardèche","2009","neurologie",3
"departement","D08","Ardennes","2009","neurologie",2
"departement","D09","Ariège","2009","neurologie",1
"departement","D10","Aube","2009","neurologie",4
"departement","D11","Aude","2009","neurologie",11
"departement","D12","Aveyron","2009","neurologie",8
"departement","D13","Bouches-du-Rhône","2009","neurologie",87
"departement","D14","Calvados","2009","neurologie",23
"departement","D15","Cantal","2009","neurologie",2
"departement","D16","Charente","2009","neurologie",5
"departement","D17","Charente-Maritime","2009","neurologie",15
"departement","D18","Cher","2009","neurologie",7
"departement","D19","Corrèze","2009","neurologie",4
"departement","D21","Côte-d'Or","2009","neurologie",24
"departement","D22","Côtes-d'Armor","2009","neurologie",13
"departement","D23","Creuse","2009","neurologie",2
"departement","D24","Dordogne","2009","neurologie",6
"departement","D25","Doubs","2009","neurologie",23
"departement","D26","Drôme","2009","neurologie",18
"departement","D27","Eure","2009","neurologie",5
"departement","D28","Eure-et-Loir","2009","neurologie",10
"departement","D29","Finistère","2009","neurologie",25
"departement","D2A","Corse-du-Sud","2009","neurologie",NA
"departement","D2B","Haute-Corse","2009","neurologie",NA
"departement","D30","Gard","2009","neurologie",17
"departement","D31","Haute-Garonne","2009","neurologie",54
"departement","D32","Gers","2009","neurologie",5
"departement","D33","Gironde","2009","neurologie",59
"departement","D34","Hérault","2009","neurologie",48
"departement","D35","Ille-et-Vilaine","2009","neurologie",32
"departement","D36","Indre","2009","neurologie",3
"departement","D37","Indre-et-Loire","2009","neurologie",21
"departement","D38","Isère","2009","neurologie",43
"departement","D39","Jura","2009","neurologie",3
"departement","D40","Landes","2009","neurologie",9
"departement","D41","Loir-et-Cher","2009","neurologie",3
"departement","D42","Loire","2009","neurologie",24
"departement","D43","Haute-Loire","2009","neurologie",3
"departement","D44","Loire-Atlantique","2009","neurologie",42
"departement","D45","Loiret","2009","neurologie",8
"departement","D46","Lot","2009","neurologie",7
"departement","D47","Lot-et-Garonne","2009","neurologie",6
"departement","D48","Lozère","2009","neurologie",0
"departement","D49","Maine-et-Loire","2009","neurologie",30
"departement","D50","Manche","2009","neurologie",9
"departement","D51","Marne","2009","neurologie",15
"departement","D52","Haute-Marne","2009","neurologie",2
"departement","D53","Mayenne","2009","neurologie",3
"departement","D54","Meurthe-et-Moselle","2009","neurologie",28
"departement","D55","Meuse","2009","neurologie",1
"departement","D56","Morbihan","2009","neurologie",13
"departement","D57","Moselle","2009","neurologie",20
"departement","D58","Nièvre","2009","neurologie",1
"departement","D59","Nord","2009","neurologie",104
"departement","D60","Oise","2009","neurologie",12
"departement","D61","Orne","2009","neurologie",3
"departement","D62","Pas-de-Calais","2009","neurologie",36
"departement","D63","Puy-de-Dôme","2009","neurologie",21
"departement","D64","Pyrénées-Atlantiques","2009","neurologie",27
"departement","D65","Hautes-Pyrénées","2009","neurologie",6
"departement","D66","Pyrénées-Orientales","2009","neurologie",8
"departement","D67","Bas-Rhin","2009","neurologie",40
"departement","D68","Haut-Rhin","2009","neurologie",29
"departement","D69","Rhône","2009","neurologie",89
"departement","D70","Haute-Saône","2009","neurologie",3
"departement","D71","Saône-et-Loire","2009","neurologie",9
"departement","D72","Sarthe","2009","neurologie",9
"departement","D73","Savoie","2009","neurologie",11
"departement","D74","Haute-Savoie","2009","neurologie",21
"departement","D75","Paris","2009","neurologie",251
"departement","D76","Seine-Maritime","2009","neurologie",44
"departement","D77","Seine-et-Marne","2009","neurologie",17
"departement","D78","Yvelines","2009","neurologie",29
"departement","D79","Deux-Sèvres","2009","neurologie",7
"departement","D80","Somme","2009","neurologie",19
"departement","D81","Tarn","2009","neurologie",11
"departement","D82","Tarn-et-Garonne","2009","neurologie",6
"departement","D83","Var","2009","neurologie",16
"departement","D84","Vaucluse","2009","neurologie",11
"departement","D85","Vendée","2009","neurologie",8
"departement","D86","Vienne","2009","neurologie",17
"departement","D87","Haute-Vienne","2009","neurologie",19
"departement","D88","Vosges","2009","neurologie",4
"departement","D89","Yonne","2009","neurologie",5
"departement","D90","Territoire de Belfort","2009","neurologie",5
"departement","D91","Essonne","2009","neurologie",15
"departement","D92","Hauts-de-Seine","2009","neurologie",48
"departement","D93","Seine-Saint-Denis","2009","neurologie",24
"departement","D94","Val-de-Marne","2009","neurologie",57
"departement","D95","Val-d'Oise","2009","neurologie",19
"departement","D9A","Guadeloupe","2009","neurologie",9
"departement","D9B","Martinique","2009","neurologie",10
"departement","D9C","Guyane","2009","neurologie",1
"departement","D9D","Réunion","2009","neurologie",13
"departement","D9F","Mayotte","2009","neurologie",NA
"departement","D01","Ain","2009","medecine_physique_readaptation",16
"departement","D02","Aisne","2009","medecine_physique_readaptation",9
"departement","D03","Allier","2009","medecine_physique_readaptation",7
"departement","D04","Alpes-de-Haute-Provence","2009","medecine_physique_readaptation",10
"departement","D05","Hautes-Alpes","2009","medecine_physique_readaptation",5
"departement","D06","Alpes-Maritimes","2009","medecine_physique_readaptation",42
"departement","D07","Ardèche","2009","medecine_physique_readaptation",5
"departement","D08","Ardennes","2009","medecine_physique_readaptation",4
"departement","D09","Ariège","2009","medecine_physique_readaptation",4
"departement","D10","Aube","2009","medecine_physique_readaptation",4
"departement","D11","Aude","2009","medecine_physique_readaptation",8
"departement","D12","Aveyron","2009","medecine_physique_readaptation",12
"departement","D13","Bouches-du-Rhône","2009","medecine_physique_readaptation",89
"departement","D14","Calvados","2009","medecine_physique_readaptation",21
"departement","D15","Cantal","2009","medecine_physique_readaptation",1
"departement","D16","Charente","2009","medecine_physique_readaptation",10
"departement","D17","Charente-Maritime","2009","medecine_physique_readaptation",10
"departement","D18","Cher","2009","medecine_physique_readaptation",4
"departement","D19","Corrèze","2009","medecine_physique_readaptation",4
"departement","D21","Côte-d'Or","2009","medecine_physique_readaptation",15
"departement","D22","Côtes-d'Armor","2009","medecine_physique_readaptation",22
"departement","D23","Creuse","2009","medecine_physique_readaptation",1
"departement","D24","Dordogne","2009","medecine_physique_readaptation",4
"departement","D25","Doubs","2009","medecine_physique_readaptation",12
"departement","D26","Drôme","2009","medecine_physique_readaptation",12
"departement","D27","Eure","2009","medecine_physique_readaptation",7
"departement","D28","Eure-et-Loir","2009","medecine_physique_readaptation",3
"departement","D29","Finistère","2009","medecine_physique_readaptation",38
"departement","D2A","Corse-du-Sud","2009","medecine_physique_readaptation",NA
"departement","D2B","Haute-Corse","2009","medecine_physique_readaptation",NA
"departement","D30","Gard","2009","medecine_physique_readaptation",27
"departement","D31","Haute-Garonne","2009","medecine_physique_readaptation",52
"departement","D32","Gers","2009","medecine_physique_readaptation",3
"departement","D33","Gironde","2009","medecine_physique_readaptation",73
"departement","D34","Hérault","2009","medecine_physique_readaptation",69
"departement","D35","Ille-et-Vilaine","2009","medecine_physique_readaptation",39
"departement","D36","Indre","2009","medecine_physique_readaptation",3
"departement","D37","Indre-et-Loire","2009","medecine_physique_readaptation",14
"departement","D38","Isère","2009","medecine_physique_readaptation",31
"departement","D39","Jura","2009","medecine_physique_readaptation",3
"departement","D40","Landes","2009","medecine_physique_readaptation",18
"departement","D41","Loir-et-Cher","2009","medecine_physique_readaptation",5
"departement","D42","Loire","2009","medecine_physique_readaptation",23
"departement","D43","Haute-Loire","2009","medecine_physique_readaptation",2
"departement","D44","Loire-Atlantique","2009","medecine_physique_readaptation",44
"departement","D45","Loiret","2009","medecine_physique_readaptation",4
"departement","D46","Lot","2009","medecine_physique_readaptation",6
"departement","D47","Lot-et-Garonne","2009","medecine_physique_readaptation",5
"departement","D48","Lozère","2009","medecine_physique_readaptation",2
"departement","D49","Maine-et-Loire","2009","medecine_physique_readaptation",18
"departement","D50","Manche","2009","medecine_physique_readaptation",16
"departement","D51","Marne","2009","medecine_physique_readaptation",9
